atoll	https://en.wikipedia.org/wiki/Atoll_(game)	
anti-reversi	https://en.wikipedia.org/wiki/Reversed_Othello	
atropos	https://en.wikipedia.org/wiki/Atropos_(game)	
amazons	https://en.wikipedia.org/wiki/Game_of_the_Amazons	
cherries	https://en.wikipedia.org/wiki/Cherries_(game)	
catchup	https://en.wikipedia.org/wiki/Catchup_(game)	
brazilian-draughts	https://en.wikipedia.org/wiki/Brazilian_draughts	
crossway	https://en.wikipedia.org/wiki/Crossway_(game)	
checkers	https://en.wikipedia.org/wiki/English_draughts	
conhex	https://en.wikipedia.org/wiki/ConHex	
connect-four	https://en.wikipedia.org/wiki/Connect_Four	
connect6	https://en.wikipedia.org/wiki/Connect6	
euclids-game	https://en.wikipedia.org/wiki/Euclid_game	
cram	https://en.wikipedia.org/wiki/Cram_(game)	
dobutsu-shogi	https://en.wikipedia.org/wiki/D%C5%8Dbutsu_sh%C5%8Dgi	
four-d-tic-tac-toe	https://en.wikipedia.org/wiki/Tic-tac-toe_variants	
frisian-draughts	https://en.wikipedia.org/wiki/Frisian_draughts	
hackenbush	https://en.wikipedia.org/wiki/Hackenbush	
northcotts-game	https://en.wikipedia.org/wiki/Northcott%27s_game	
notakto	https://en.wikipedia.org/wiki/Notakto	
order-and-chaos	https://en.wikipedia.org/wiki/Order_and_Chaos	
nonograms	https://en.wikipedia.org/wiki/Nonogram	
othello	https://en.wikipedia.org/wiki/Reversi	
pallanguzhi	https://en.wikipedia.org/wiki/Pallanguzhi	
l-game	https://en.wikipedia.org/wiki/L_game	
onyx	https://en.wikipedia.org/wiki/Onyx_(game)	
pentago	https://en.wikipedia.org/wiki/Pentago	
pente	https://en.wikipedia.org/wiki/Pente	
phutball	https://en.wikipedia.org/wiki/Phutball	
pegs-solitaire	https://en.wikipedia.org/wiki/Peg_solitaire	
pocket-cube	https://en.wikipedia.org/wiki/Pocket_Cube	
punct	https://en.wikipedia.org/wiki/P%C3%9CNCT	
poly-y	https://en.wikipedia.org/wiki/Y_(game)	
picaria	https://en.wikipedia.org/wiki/Picaria	
push	https://en.wikipedia.org/wiki/Push_(game)	
pong-hau-ki	https://en.wikipedia.org/wiki/Pong_hau_ki	
pyraminx	https://en.wikipedia.org/wiki/Pyraminx	
pylos	https://en.wikipedia.org/wiki/Pylos_(game)	
qubic	https://en.wikipedia.org/wiki/3D_tic-tac-toe	
quoridor	https://en.wikipedia.org/wiki/Quoridor	
quixo	https://en.wikipedia.org/wiki/Quixo	
red-blue-green-hackenbush	https://en.wikipedia.org/wiki/Hackenbush	
quarto	https://en.wikipedia.org/wiki/Quarto_(board_game)	
rock-paper-scissors	https://en.wikipedia.org/wiki/Rock_paper_scissors	
renju	https://en.wikipedia.org/wiki/Renju	
ruler-game	https://en.wikipedia.org/wiki/Ruler_game	
rubiks-cube	https://en.wikipedia.org/wiki/Rubik%27s_Cube	
samegame	https://en.wikipedia.org/wiki/SameGame	
score-four	https://en.wikipedia.org/wiki/Score_Four	
seega	https://en.wikipedia.org/wiki/Seega_(game)	
rush-hour	https://en.wikipedia.org/wiki/Rush_Hour_(puzzle)	
shatranj	https://en.wikipedia.org/wiki/Shatranj	
russian-draughts	https://en.wikipedia.org/wiki/Russian_draughts	
shove	https://en.wikipedia.org/wiki/Shove_(game)	
sim	https://en.wikipedia.org/wiki/Sim_(game)	
shogi	https://en.wikipedia.org/wiki/Shogi	
six-mens-morris	https://en.wikipedia.org/wiki/Six_men%27s_morris	
skewb	https://en.wikipedia.org/wiki/Skewb	
shisima	https://en.wikipedia.org/wiki/Shisima	
skat	https://en.wikipedia.org/wiki/Skat_(card_game)	
slither	https://en.wikipedia.org/wiki/Slither_(board_game)	
snort	https://en.wikipedia.org/wiki/Snort_(game)	
slitherlink	https://en.wikipedia.org/wiki/Slitherlink	
sokoban	https://en.wikipedia.org/wiki/Sokoban	
songo	https://en.wikipedia.org/wiki/Mancala	
star	https://en.wikipedia.org/wiki/Star_(board_game)	
subtract-a-square	https://en.wikipedia.org/wiki/Subtract_a_square	
sudoku	https://en.wikipedia.org/wiki/Sudoku	
sungka	https://en.wikipedia.org/wiki/Sungka	
surakarta	https://en.wikipedia.org/wiki/Surakarta_(game)	
tablut	https://en.wikipedia.org/wiki/Tafl_games	
tamsk	https://en.wikipedia.org/wiki/TAMSK	
tant-fant	https://en.wikipedia.org/wiki/Tant_fant	
teeko	https://en.wikipedia.org/wiki/Teeko	
three-check-chess	https://en.wikipedia.org/wiki/Three-check_chess	
tic-tac-chec	https://en.wikipedia.org/wiki/Tic-tac-chec	
toguz-kumalak	https://en.wikipedia.org/wiki/Toguz_korgool	
toads-and-frogs	https://en.wikipedia.org/wiki/Toads_and_Frogs	
tic-tac-toe	https://en.wikipedia.org/wiki/Tic-tac-toe	
tigers-and-goats	https://en.wikipedia.org/wiki/Bagh-Chal	
tower-of-hanoi	https://en.wikipedia.org/wiki/Tower_of_Hanoi	
treblecross	https://en.wikipedia.org/wiki/Treblecross	
tribolo	https://en.wikipedia.org/wiki/Tribolo	
turkish-draughts	https://en.wikipedia.org/wiki/Turkish_draughts	
twelve-mens-morris	https://en.wikipedia.org/wiki/Twelve_men%27s_morris	
twixt	https://en.wikipedia.org/wiki/TwixT	
tzaar	https://en.wikipedia.org/wiki/TZAAR	
ultimate-tic-tac-toe	https://en.wikipedia.org/wiki/Ultimate_tic-tac-toe	
unlur	https://en.wikipedia.org/wiki/Unlur	
wild-tic-tac-toe	https://en.wikipedia.org/wiki/Tic-tac-toe_variants	
volo	https://en.wikipedia.org/wiki/Volo_(game)	
wolves-and-sheep	https://en.wikipedia.org/wiki/Wolf_and_sheep	
xiangqi	https://en.wikipedia.org/wiki/Xiangqi	
yahtzee	https://en.wikipedia.org/wiki/Yahtzee	
y	https://en.wikipedia.org/wiki/Y_(game)	
zertz	https://en.wikipedia.org/wiki/ZERTZ	
yinsh	https://en.wikipedia.org/wiki/YINSH	
yote	https://en.wikipedia.org/wiki/Yot%C3%A9	
