allis-gomoku1996	https://onlinelibrary.wiley.com/doi/10.1111/j.1467-8640.1996.tb00250.x	http://web.archive.org/web/20231101131051/https://onlinelibrary.wiley.com/doi/10.1111/j.1467-8640.1996.tb00250.x
allis1988	https://www.connectfour.net/Files/connect4.pdf	http://web.archive.org/web/20260424013528/http://www.connectfour.net/Files/connect4.pdf
allis-pns1994	https://www.sciencedirect.com/science/article/pii/0004370294900043	http://web.archive.org/web/20180821110815/https://www.sciencedirect.com/science/article/pii/0004370294900043
ascher-mutorere1987	https://www.jstor.org/stable/2690367	http://web.archive.org/web/20220202044955/https://www.jstor.org/stable/2690367
berlekamp-dotsandboxes2000	https://www.routledge.com/The-Dots-and-Boxes-Game-Sophisticated-Childs-Play/Berlekamp/p/book/9781568811291	http://web.archive.org/web/20260406154739/https://www.routledge.com/The-Dots-and-Boxes-Game-Sophisticated-Childs-Play/Berlekamp/p/book/9781568811291
bcg2001	https://www.routledge.com/Winning-Ways-for-Your-Mathematical-Plays-Volume-1/Berlekamp-Conway-Guy/p/book/9781568811307	http://web.archive.org/web/20260217011838/https://www.routledge.com/Winning-Ways-for-Your-Mathematical-Plays-Volume-1/Berlekamp-Conway-Guy/p/book/9781568811307
applegate-sprouts1991	https://www.cs.cmu.edu/~sleator/papers/Sprouts.htm	http://web.archive.org/web/20260226123956/https://www.cs.cmu.edu/~sleator/papers/Sprouts.htm
bouton1901	https://www.jstor.org/stable/1967631	http://web.archive.org/web/20251230082153/https://www.jstor.org/stable/1967631
bjarnason-klondike2009	https://aaai.org/papers/icaps09-026-lower-bounding-klondike-solitaire-with-monte-carlo-planning/	
brown-libratus2018	https://www.science.org/doi/10.1126/science.aao1733	http://web.archive.org/web/20250812021744/https://www.science.org/doi/10.1126/science.aao1733
conway1976	https://www.routledge.com/On-Numbers-and-Games/Conway/p/book/9781568811277	http://web.archive.org/web/20260110124900/https://www.routledge.com/On-Numbers-and-Games/Conway/p/book/9781568811277
demaine-phutball2002	https://arxiv.org/abs/cs/0008025	http://web.archive.org/web/20251229164256/https://arxiv.org/abs/cs/0008025
feinstein-othello6x61993	https://www.britishothello.org.uk/newsletter/199308.pdf	
bowling2015	https://www.science.org/doi/10.1126/science.1259433	
gale1979	https://www.jstor.org/stable/2320146	http://web.archive.org/web/20260211202956/https://www.jstor.org/stable/2320146
gardner-hexapawn1962	https://www.scientificamerican.com/article/mathematical-games-1962-03/	
gasser1996	https://www.sciencedirect.com/science/article/pii/0304397595001640	
glenn-yahtzee2006	https://www.cs.umd.edu/~jglenn/research/optimal_yahtzee.pdf	
grundy1939	https://archive.org/details/in.ernet.dli.2015.2199	
guy-smith1956	https://www.cambridge.org/core/journals/mathematical-proceedings-of-the-cambridge-philosophical-society/article/abs/g-values-of-various-games/	
allis1994	https://project.dke.maastrichtuniversity.nl/games/files/phd/allis_thesis.pdf	
glendenning-quoridor2005	https://digitalcommons.csbsju.edu/honors_thesis/	
irving-kalah2000	https://www.icga.org/icga/journal/contents/v23n3.htm	
hayward-hex2009	https://webdocs.cs.ualberta.ca/~hayward/papers/solve9.pdf	
hearn-demaine2009	https://www.routledge.com/Games-Puzzles-and-Computation/Hearn-Demaine/p/book/9781568813226	
