allis1988	https://www.connectfour.net/Files/connect4.pdf
allis1994	https://project.dke.maastrichtuniversity.nl/games/files/phd/allis_thesis.pdf
allis-gomoku1996	https://onlinelibrary.wiley.com/doi/10.1111/j.1467-8640.1996.tb00250.x
allis-pns1994	https://www.sciencedirect.com/science/article/pii/0004370294900043
applegate-sprouts1991	https://www.cs.cmu.edu/~sleator/papers/Sprouts.htm
ascher-mutorere1987	https://www.jstor.org/stable/2690367
beasley-pegsolitaire1985	https://www.worldcat.org/oclc/12723691
berlekamp-dotsandboxes2000	https://www.routledge.com/The-Dots-and-Boxes-Game-Sophisticated-Childs-Play/Berlekamp/p/book/9781568811291
bcg2001	https://www.routledge.com/Winning-Ways-for-Your-Mathematical-Plays-Volume-1/Berlekamp-Conway-Guy/p/book/9781568811307
bjarnason-klondike2009	https://aaai.org/papers/icaps09-026-lower-bounding-klondike-solitaire-with-monte-carlo-planning/
bouton1901	https://www.jstor.org/stable/1967631
bowling2015	https://www.science.org/doi/10.1126/science.1259433
brown-libratus2018	https://www.science.org/doi/10.1126/science.aao1733
conway1976	https://www.routledge.com/On-Numbers-and-Games/Conway/p/book/9781568811277
demaine-phutball2002	https://arxiv.org/abs/cs/0008025
feinstein-othello6x61993	https://www.britishothello.org.uk/newsletter/199308.pdf
gale1979	https://www.jstor.org/stable/2320146
gardner-hexapawn1962	https://www.scientificamerican.com/article/mathematical-games-1962-03/
gasser1996	https://www.sciencedirect.com/science/article/pii/0304397595001640
glendenning-quoridor2005	https://digitalcommons.csbsju.edu/honors_thesis/
glenn-yahtzee2006	https://www.cs.umd.edu/~jglenn/research/optimal_yahtzee.pdf
grundy1939	https://archive.org/details/in.ernet.dli.2015.2199
guy-smith1956	https://www.cambridge.org/core/journals/mathematical-proceedings-of-the-cambridge-philosophical-society/article/abs/g-values-of-various-games/
hayward-hex2009	https://webdocs.cs.ualberta.ca/~hayward/papers/solve9.pdf
hearn-demaine2009	https://www.routledge.com/Games-Puzzles-and-Computation/Hearn-Demaine/p/book/9781568813226
irving-kalah2000	https://www.icga.org/icga/journal/contents/v23n3.htm
irving-pentago2014	https://arxiv.org/abs/1404.0743
knuth1977	https://www.sciencedirect.com/science/article/pii/0004370275900193
